Date,Time,DateTime,Country,DC_Power,AC_Power,Ambient_Temperature,Module_Temperature,Irradiation,Day,Month,Hour,Daily_Yield,Total_Yield,Price,Demand,Demand_Energy
1/1/2024,0,2024-01-01 00:00:00,Australia,0.0,0.0,8.32,14.89,0.015,1,1,0,0.0,0.0,65.840833,6197.7025,6202.22
1/1/2024,1,2024-01-01 01:00:00,Australia,0.0,0.0,7.74,11.05,0.0,1,1,1,0.0,0.0,51.865833,6080.465,6088.46
1/1/2024,2,2024-01-01 02:00:00,Australia,0.0,0.0,8.57,12.85,0.016,1,1,2,0.0,0.0,53.718333,5882.9917,5889.73
1/1/2024,3,2024-01-01 03:00:00,Australia,0.0,0.0,7.65,14.87,0.004,1,1,3,0.0,0.0,51.5875,5759.655,5762.59
1/1/2024,4,2024-01-01 04:00:00,Australia,0.0,0.0,7.45,12.55,0.0,1,1,4,0.0,0.0,45.140833,5735.6175,5739.2
1/1/2024,5,2024-01-01 05:00:00,Australia,9.305,8.536,7.58,13.47,0.11,1,1,5,8.536,8.536,35.269167,5671.785,5673.05
1/1/2024,6,2024-01-01 06:00:00,Australia,16.516,14.713,8.66,12.64,0.256,1,1,6,23.249,23.249,6.2966667,5616.2858,5616.86
1/1/2024,7,2024-01-01 07:00:00,Australia,24.903,21.896,8.05,13.09,0.363,1,1,7,45.144999999999996,45.144999999999996,25.845833,5651.4583,5649.56
1/1/2024,8,2024-01-01 08:00:00,Australia,33.42,31.058,8.81,13.0,0.51,1,1,8,76.203,76.203,29.600833,5752.3867,5751.4
1/1/2024,9,2024-01-01 09:00:00,Australia,45.469,41.812,9.0,13.43,0.724,1,1,9,118.015,118.015,46.879167,5847.0092,5841.2
1/1/2024,10,2024-01-01 10:00:00,Australia,55.531,48.068,7.45,13.63,0.848,1,1,10,166.083,166.083,42.145833,5965.3333,5955.44
1/1/2024,11,2024-01-01 11:00:00,Australia,58.844,52.405,8.39,12.15,0.901,1,1,11,218.488,218.488,46.990833,6131.425,6128.37
1/1/2024,12,2024-01-01 12:00:00,Australia,62.275,55.048,8.75,13.5,0.962,1,1,12,273.536,273.536,22.005,6056.8375,6063.95
1/1/2024,13,2024-01-01 13:00:00,Australia,65.954,57.799,8.02,12.5,1.028,1,1,13,331.335,331.335,28.6825,6055.8808,6048.0
1/1/2024,14,2024-01-01 14:00:00,Australia,54.76,48.8,7.95,13.92,0.826,1,1,14,380.135,380.135,37.55,6378.1358,6364.76
1/1/2024,15,2024-01-01 15:00:00,Australia,47.622,43.126,8.09,12.68,0.743,1,1,15,423.26099999999997,423.26099999999997,34.3075,6692.1067,6678.53
1/1/2024,16,2024-01-01 16:00:00,Australia,36.163,31.993,8.61,11.8,0.57,1,1,16,455.254,455.25399999999996,35.7425,6984.61,6970.14
1/1/2024,17,2024-01-01 17:00:00,Australia,23.611,20.955,8.17,11.73,0.362,1,1,17,476.209,476.20899999999995,57.334167,7283.2242,7276.07
1/1/2024,18,2024-01-01 18:00:00,Australia,16.622,14.647,8.24,12.94,0.276,1,1,18,490.856,490.85599999999994,66.274167,7334.26,7333.31
1/1/2024,19,2024-01-01 19:00:00,Australia,10.4,8.821,8.13,15.18,0.158,1,1,19,499.677,499.67699999999996,69.933333,7249.0075,7257.59
1/1/2024,20,2024-01-01 20:00:00,Australia,0.0,0.0,7.13,10.33,0.009,1,1,20,499.677,499.67699999999996,66.458333,7024.3283,7034.45
1/1/2024,21,2024-01-01 21:00:00,Australia,0.0,0.0,9.08,12.43,0.01,1,1,21,499.677,499.67699999999996,59.36,6679.2917,6696.36
1/1/2024,22,2024-01-01 22:00:00,Australia,0.0,0.0,9.14,13.71,0.007,1,1,22,499.677,499.67699999999996,53.8775,6332.1108,6345.25
1/1/2024,23,2024-01-01 23:00:00,Australia,0.0,0.0,8.45,13.04,0.011,1,1,23,499.677,499.67699999999996,60.665,6049.0017,6058.86
2/1/2024,0,2024-01-02 00:00:00,Australia,0.0,0.0,9.05,13.52,0.002,2,1,0,0.0,499.67699999999996,59.769167,5818.1192,5823.95
2/1/2024,1,2024-01-02 01:00:00,Australia,0.0,0.0,9.28,13.59,0.0,2,1,1,0.0,499.67699999999996,57.415833,5680.67,5688.85
2/1/2024,2,2024-01-02 02:00:00,Australia,0.0,0.0,8.28,12.74,0.0,2,1,2,0.0,499.67699999999996,55.049167,5570.7533,5573.97
2/1/2024,3,2024-01-02 03:00:00,Australia,0.0,0.0,7.57,13.51,0.003,2,1,3,0.0,499.67699999999996,53.200833,5574.0225,5572.35
2/1/2024,4,2024-01-02 04:00:00,Australia,0.0,0.0,8.19,13.69,0.0,2,1,4,0.0,499.67699999999996,54.01,5648.9933,5641.35
2/1/2024,5,2024-01-02 05:00:00,Australia,10.323,9.141,8.48,11.67,0.14,2,1,5,9.141,508.818,60.135833,5820.5025,5815.73
2/1/2024,6,2024-01-02 06:00:00,Australia,16.148,14.555,8.75,13.81,0.216,2,1,6,23.695999999999998,523.3729999999999,53.615833,6090.8183,6080.62
2/1/2024,7,2024-01-02 07:00:00,Australia,22.759,20.908,7.91,14.98,0.381,2,1,7,44.604,544.281,26.796667,6257.62,6252.56
2/1/2024,8,2024-01-02 08:00:00,Australia,32.785,29.588,8.29,12.39,0.52,2,1,8,74.19200000000001,573.8689999999999,26.2275,6163.4858,6162.51
2/1/2024,9,2024-01-02 09:00:00,Australia,49.38,43.045,8.12,13.27,0.757,2,1,9,117.237,616.9139999999999,40.735,6239.5208,6239.85
2/1/2024,10,2024-01-02 10:00:00,Australia,52.694,47.626,9.25,13.09,0.84,2,1,10,164.863,664.5399999999998,34.218333,6493.2575,6480.7
2/1/2024,11,2024-01-02 11:00:00,Australia,69.612,61.809,7.97,11.98,1.059,2,1,11,226.672,726.3489999999998,36.095833,6653.0133,6649.22
2/1/2024,12,2024-01-02 12:00:00,Australia,66.733,61.617,8.74,12.88,0.981,2,1,12,288.289,787.9659999999998,21.111667,6600.6967,6603.9
2/1/2024,13,2024-01-02 13:00:00,Australia,63.588,56.656,9.07,12.97,1.019,2,1,13,344.945,844.6219999999997,23.7825,6557.3058,6561.25
2/1/2024,14,2024-01-02 14:00:00,Australia,55.804,49.082,8.74,13.92,0.85,2,1,14,394.027,893.7039999999997,11.110833,6547.4933,6539.37
2/1/2024,15,2024-01-02 15:00:00,Australia,46.477,40.856,7.51,11.99,0.664,2,1,15,434.883,934.5599999999997,13.829167,6630.98,6628.29
2/1/2024,16,2024-01-02 16:00:00,Australia,34.834,32.092,8.04,13.9,0.551,2,1,16,466.975,966.6519999999997,34.465,7035.1292,7011.56
2/1/2024,17,2024-01-02 17:00:00,Australia,23.823,19.911,9.02,13.87,0.334,2,1,17,486.88599999999997,986.5629999999996,45.570833,7440.0408,7427.64
2/1/2024,18,2024-01-02 18:00:00,Australia,16.185,14.772,7.87,12.87,0.257,2,1,18,501.658,1001.3349999999997,73.570833,7719.3717,7710.07
2/1/2024,19,2024-01-02 19:00:00,Australia,9.015,8.256,8.41,13.7,0.12,2,1,19,509.914,1009.5909999999997,92.7225,7819.1467,7820.25
2/1/2024,20,2024-01-02 20:00:00,Australia,0.0,0.0,8.11,12.89,0.004,2,1,20,509.914,1009.5909999999997,89.530833,7567.7042,7584.77
2/1/2024,21,2024-01-02 21:00:00,Australia,0.0,0.0,8.6,11.41,0.0,2,1,21,509.914,1009.5909999999997,65.6225,7165.395,7180.63
2/1/2024,22,2024-01-02 22:00:00,Australia,0.0,0.0,8.45,13.43,0.012,2,1,22,509.914,1009.5909999999997,68.158333,6721.4758,6739.77
2/1/2024,23,2024-01-02 23:00:00,Australia,0.0,0.0,7.94,13.79,0.025,2,1,23,509.914,1009.5909999999997,97.721667,6386.1567,6400.09
3/1/2024,0,2024-01-03 00:00:00,Australia,0.0,0.0,7.4,14.05,0.0,3,1,0,0.0,1009.5909999999997,81.114167,6068.8058,6082.18
3/1/2024,1,2024-01-03 01:00:00,Australia,0.0,0.0,9.14,13.6,0.0,3,1,1,0.0,1009.5909999999997,65.370833,5872.7083,5879.09
3/1/2024,2,2024-01-03 02:00:00,Australia,0.0,0.0,7.78,12.91,0.029,3,1,2,0.0,1009.5909999999997,62.533333,5753.8675,5754.72
3/1/2024,3,2024-01-03 03:00:00,Australia,0.0,0.0,8.78,14.75,0.001,3,1,3,0.0,1009.5909999999997,62.1175,5719.8158,5722.7
3/1/2024,4,2024-01-03 04:00:00,Australia,0.0,0.0,7.78,13.73,0.027,3,1,4,0.0,1009.5909999999997,67.930833,5728.05,5724.25
3/1/2024,5,2024-01-03 05:00:00,Australia,9.723,8.484,8.79,15.19,0.178,3,1,5,8.484,1018.0749999999997,82.2575,5795.9817,5797.15
3/1/2024,6,2024-01-03 06:00:00,Australia,15.019,13.11,9.38,11.47,0.187,3,1,6,21.594,1031.1849999999997,16.8475,5695.5983,5703.04
3/1/2024,7,2024-01-03 07:00:00,Australia,25.659,23.547,7.92,12.42,0.421,3,1,7,45.141,1054.7319999999997,-23.221667,5485.5733,5497.38
3/1/2024,8,2024-01-03 08:00:00,Australia,34.68,30.416,8.29,15.84,0.515,3,1,8,75.557,1085.1479999999997,-23.63,5328.8158,5328.35
3/1/2024,9,2024-01-03 09:00:00,Australia,46.17,40.872,7.87,13.48,0.733,3,1,9,116.429,1126.0199999999998,-20.5,5335.1608,5334.28
3/1/2024,10,2024-01-03 10:00:00,Australia,56.193,51.343,8.35,13.02,0.879,3,1,10,167.772,1177.3629999999998,-9.3833333,5454.7283,5447.24
3/1/2024,11,2024-01-03 11:00:00,Australia,61.368,55.525,8.35,11.34,0.936,3,1,11,223.297,1232.888,26.394167,5655.1883,5638.11
3/1/2024,12,2024-01-03 12:00:00,Australia,65.463,58.525,8.3,13.16,1.034,3,1,12,281.822,1291.413,34.324167,6136.4908,6125.59
3/1/2024,13,2024-01-03 13:00:00,Australia,57.843,50.038,8.07,11.71,0.904,3,1,13,331.86,1341.451,23.970833,6108.725,6109.83
3/1/2024,14,2024-01-03 14:00:00,Australia,55.322,49.328,8.53,13.09,0.808,3,1,14,381.188,1390.779,44.631667,6448.1942,6422.27
3/1/2024,15,2024-01-03 15:00:00,Australia,45.995,40.775,7.36,13.21,0.706,3,1,15,421.963,1431.554,52.2175,7108.0992,7080.95
3/1/2024,16,2024-01-03 16:00:00,Australia,33.667,29.412,8.64,13.28,0.527,3,1,16,451.375,1460.9660000000001,75.5025,7693.555,7667.0
3/1/2024,17,2024-01-03 17:00:00,Australia,25.422,22.833,8.47,14.15,0.405,3,1,17,474.20799999999997,1483.7990000000002,85.714167,8331.8392,8313.27
